title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Igby Goes Down,2002-09-13,en,Igby Goes Down,"Igby Slocumb, a rebellious and sarcastic 17-year-old boy, is at war with the stifling world of old money privilege he was born into. With a schizophrenic father, a self-absorbed, distant mother, and a shark-like young Republican big brother, Igby figures there must be a better life out there -- and sets about finding it.",Insanity is relative.,"Comedy, Drama",english,"new york city, parent child relationship, falling in love, godfather"
633 Squadron,1964-04-06,en,633 Squadron,"When Norwegian resistance leader Lieutenant Erik Bergman reports the location of a German V-2 rocket fuel plant, the Royal Air Force's 633 Squadron is assigned the mission to destroy it. The plant is in a seemingly-impregnable location beneath an overhanging cliff at the end of a long, narrow fjord lined with anti-aircraft guns. The only way to destroy the plant is by collapsing the cliff on top of it.",The greatest adventure since men fought on earth - or flew over it!,"Drama, War","german, english","norway, air raid, norwegian resistance"
Creative Nonfiction,2009-02-18,en,Creative Nonfiction,"College student Ella is completely focused on her ambiguously romantic relationship with her dorm-mate, Chris. She is so consumed by trying to understand his behavior that she's neglecting the screenplay she is supposed to write in order to graduate. When she does sit down to work on the script, her increasingly awkward social life bleeds onto the page and her work begins to express her true feelings about her own situation.",Art Imitates Life,"Comedy, Romance",english,woman director
The Red Beret,1953-08-11,en,The Red Beret,"Steve MacKendrick resigns from the US Army after causing the needless death of a fellow officer. Wanting to serve in the war, he enlists as a Canadian in the British 1st Parachute Brigade. He proves himself exceptionally skilled for a recruit, arousing the suspicion of his commanding officer who starts an investigation. He redeems himself during combat.  The film was titled ""Paratrooper"" in the US.",Alan Ladd at his greatest in this ripcord thriller that rips at your emotions!,"War, Drama",english,"british army, parachute, us army, paratrooper, german radar"
Re-Electing Lincoln,2020-10-01,en,Re-Electing Lincoln,Leading Lincoln historian Harold Holzer masterfully recalls a dramatic Presidential Election that redefined racial politics and changed the course of history.,Did Black Lives Matter?,"Documentary, History",english,"presidential election, president, abraham lincoln, u.s. presidents"
Mr. Nanny,1993-04-02,en,Mr. Nanny,A former pro-wrestler is hired to be the bodyguard/nanny for a couple of bratty kids whose inventor father is being stalked by a rival.,"He's big, he's bad, and he's babysitting. He doesn't stand a chance.","Family, Comedy",english,"nanny, wrestler"
American Beauty,1999-09-15,en,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Look closer.,Drama,english,"estate agent, adultery, coming out, first time, virgin, cheating, parent child relationship, age difference, midlife crisis, cheerleader, dark comedy, rose, satire, dysfunctional family, suburbia, coming of age, sexual fantasy, dysfunctional marriage, marijuana, loneliness, love affair, exercise, extramarital affair, realtor, quitting a job, voyeur, neighborhood, retired army man, closeted homosexual, singing in a car, gay theme, teenager, camcorder"
Fatal Memories,1992-11-09,en,Fatal Memories,Fact based story about a woman who after 20 years starts having memories of her own molestation by her father and the murder of one of her childhood playmates by him.,Remembering the past could cost her everything!,"Drama, TV Movie",english,repressed memory
A Wrinkle in Time,2018-03-08,en,A Wrinkle in Time,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",Be a warrior,"Adventure, Science Fiction, Family, Fantasy",english,"based on novel or book, child prodigy, remake, family, woman director, mixed race"
One Man's Law,1940-06-29,en,One Man's Law,"In this old-time Western from director George Sherman, peaceable cowpoke Jack Summers takes the job of sheriff to help his adopted town in its bid to beat out a nearby settlement for a lucrative railroad contract. Trailcross is trying to get the new railroad and Stevens wants it to go to Mason City. Jack and sidekick Nevady arrive and when Jack faces down Stevens' men, he is made Marshal. The townspeople raise money for the railroad and entrust it to Jack. But Stevens plants two of his henchmen as Jack's escorts and they rob him. With the Railroad Officials due to arrive, Jack must retrieve the money.",He dealt out a Marshal's Law...with cold courage...and red-hot lead!,Western,english,"harmonica, shootout"
The Savage,1952-09-01,en,The Savage,"The only white survivor of a Crow Indian raid on a wagon train is a young boy. He is rescued by the Sioux, and the Sioux chief raises him as an Indian in very way. Years later, the white men and the Sioux threaten to go to war and the Indian-raised white man is torn between his racial loyalties and his adopted tribe.","CHARLTON HESTON...fresh from his triumph in ""The Greatest Show on Earth""","Western, Action",english,sioux tribe
The Phantom of the Opera,1962-06-25,en,The Phantom of the Opera,"The corrupt Lord Ambrose D'Arcy steals the life's work of the poor musical Professor Petry. In an attempt to stop the printing of music with D'Arcy's name on it, Petry breaks into the printing office and accidentally starts a fire, leaving him severely disfigured. Years later, Petry returns to terrorize a London opera house that is about to perform one of his stolen operas.",BENEATH HIS MASK... the Grotesque Face of Horror Unimaginable! INSIDE HIS HEART... the Desperate Desire for Beauty and Love!,Horror,english,"mask, opera, london, england, musical, remake, singer, murder, hanged man, opera house, disfigured face, disfigurement, chandelier, phantom of the opera, masked killer, rats"
Carry On Spying,1964-06-01,en,Carry On Spying,"Carry On favourite Barbara Windsor makes her debut in this outrageous send-up of the James Bond movies. Fearless agent Desmond Simpkins and Charlie Bind, aided and abetted by the comely Agent Honeybutt and Agent Crump, battle against the evil powers of international bad guys STENCH and their three cronies.",Cloak And Dagger Operations Exposed. Secret Agent Charlie Bind O.O.O.H! Takes The Lid Off The Funniest Spy Story Of The Year!,Comedy,"german, english","undercover agent, espionage, spy, guard, villain, satire, parody, spoof, carry on, train, britain, female spy, agent, secret service, top secret, secret headquarters"
Sodom and Gomorrah,1962-10-04,en,Sodom and Gomorrah,"Lot leads his people to a fertile valley adjacent to the cities of Sodom and Gomorrah, hotbeds of vice and corruption ruled by the merciless Queen Bera. When Lot orders a dam to be busted in order to prevent the destruction of the cities by the attacking Helamites, the queen, in gratitude, allows Lot's people to settle in Sodom. Soon, however, the veneer of civilization begins crumbling as Lot and the Hebrews become corrupted by the Sodomites.",The cities that mocked the very name of God... The vengeance that tore the Earth asunder!,"Adventure, Drama, History",english,"epic, bible, slave, old testament"
Tony Bennett: An American Classic,2006-11-22,en,Tony Bennett: An American Classic,A celebration of the life of musical icon Tony Bennett on the occasion of his 80th birthday. The special charts Bennett’s career by faithfully re-creating venues from his past. Bennett is joined for each number by the artists that collaborated with him on his Duets album.,Celebrating Tony Bennett on his 80th birthday.,"Music, Documentary",english,music special
Unknownature,2019-11-29,en,Unknownature,"A wildlife enthusiast, Jean-Pierre Bosquet brings us on a journey to Singapore's Sungei Buloh Wetland Reserve to uncover some of the unknown nature in the midst of our metropolis city. Subaraj Rajathurai, a veteran wildlife consultant speaks on behalf of these animals and the threats they face.",Explore  the  unknown  nature  of  Singapore  and  the  threats faced by its wildlife.,Documentary,english,"human vs nature, singapore"
Frozen,2010-02-05,en,Frozen,"When three skiers find themselves stranded on a chair lift at a New England ski resort that has closed for the next week, they are forced to make life or death choices that prove to be more perilous than staying put and freezing to death.",No one knows you're up there.,Thriller,english,"cold, wolf, mountain, animal attack, girlfriend, stranded, snow, best friend, boyfriend, ski resort, ski lift, eaten alive, hypothermia, frostbite, cable car, eaten by animal, skier, stuck, wolves, life or death, natural horror"
