title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Bliss,1997-04-14,en,Bliss,A newly married happy couple visits a sex therapist to determine why the wife can't achieve an orgasm with her husband. This causes a horrific suppressed memory to emerge and she becomes more and more distant.,Love is only the beginning.,"Drama, Romance",english,"depression, dancing, child abuse, bondage, frigidity, psychology, marriage, bride, childhood trauma, betrayal, hospital, doctor, wedding, incest, therapy, commitment, intimacy, abusive father, repression, adoration, sex therapist"
In My Genes,2009-04-01,en,In My Genes,"Agnes may not seem like someone with much to laugh about. For one thing, she has albinism - a lack of pigment in the skin, hair and eyes - and her appearance has provoked prejudice from family, friends and strangers since she was born. But despite all odds, Agnes refuses to lead a life of sorrow. This fascinating and inspiring documentary also shares the stories of seven other people's individual experiences of living their lives with albinism in Kenya, a predominantly black society. While each person's story is unique, they all have one thing in common: they know what it is like to stand out uncomfortably from the crowd.",What is it like to be 'white' in a 'black' society?,"Drama, Documentary","english, swahili","social documentary, albino, woman director, albinism, documentary film"
What She Said,2021-09-14,en,What She Said,Sam decides to stop pursuing charges against her rapist and spend Thanksgiving alone on her family's Virginia farm. Her brother stages an intervention with seven of Sam’s friends to persuade her to return.,Everybody has an opinion. Nobody has WiFi.,"Comedy, Drama","arabic, english","sibling relationship, thanksgiving, rape victim, cabin, group of friends, virginia, woman director, sexual assault, linguistics, phd thesis, criminal trial, traumatized woman"
Angle,2023-09-02,en,Angle,"Kurt Angle tells the tale of his journey from humble beginnings in Pittsburgh to Olympic Gold Medalist and WWE Hall of Famer; Angle, his family and his friends share their candid thoughts on the WWE Legend's turbulent road to glory.",From the producers of TEAM FOXCATCHER and JIRO DREAMS OF SUSHI,Documentary,english,"pro wrestling, pro wrestler, olympics, wrestlemania, wwe"
Loose Change 9/11: An American Coup,2009-09-22,en,Loose Change 9/11: An American Coup,"With the departure of the Bush Administration and the arrival of an “era of transparency,” opportunities are arising for the disclosure of new information that may shed more light on the events that took place before and after 9/11/2001. Loaded with powerful, new footage and in-depth interviews this documentary presents a wide array of evidence both known and unknown…until now.",Does History Repeat Itself?,Documentary,"french, spanish, english",conspiracy theory
One Trick Pony,1980-10-03,en,One Trick Pony,"An aging rock star trying to put together a new album in the face of an indifferent record label and a talentless producer. At the same time, he's struggling to save his failing marriage.",Rock 'n' roll will give you some laughs... but it won't do you any favors.,Drama,english,"music business, rock music, record, failing marriage"
Wild Texas Wind,1991-09-23,en,Wild Texas Wind,"Wild Texas Wind is an 1991 American made-for-television drama film distributed by Sandollar Productions, directed by Joan Tewkesbury and starring Dolly Parton, Gary Busey, and Ray Benson. Parton co-wrote the story with Mark Kiracofe, as well as multiple songs from the film with Benson.",The perfect romance....until she became the victim of his rage.,"TV Movie, Drama",english,"woman director, abuse"
The Last Outlaw,1936-06-19,en,The Last Outlaw,"After serving 25 years in prison for robbery, Dean Payton returns to his home town to see his daughter, Sally, who is unaware he is her father. He befriends Cal Yates, the now semi-retired assistant sheriff who originally caught him, and Chuck Wilson, a young rancher who has eyes for Sally. Wanted criminal Al Goss holds up the local bank and makes his getaway, taking Sally hostage. Showing he still has what it takes, Payton, along with Yates and Wilson, take off into the hills on horseback to try to track Goss down.  - Written by Doug Sederberg",Here they come a-shootin'!,Western,english,"prison, sheriff, bank robbery"
Behind Prison Gates,1939-07-28,en,Behind Prison Gates,An agent for the state attorney general poses as a convict to learn about bank loot.,"""BETTER TO DIE IN A FIGHT FOR FREEDOM THAN A LIVING DEATH BEHIND BARS!""","Crime, Drama, Action",english,"prison, b movie"
Mali,2014-04-16,en,Mali,"A Class that didn't Know what to call her,  Sisters that didn't know she existed,  A Family that didn't know if they should hide it,  And strangers who don't know what to make of it",She's unusual. She's unpredictable. She's just like you.,"Drama, Comedy","english, yiddish",orthodox jewish
